timestamp,vibration_mm_s
2026-09-01 12:00:00,2.335
2026-09-01 12:00:01,2.142
2026-09-01 12:00:02,2.661
2026-09-01 12:00:03,2.374
2026-09-01 12:00:04,2.114
2026-09-01 12:00:05,1.89
2026-09-01 12:00:06,1.894
2026-09-01 12:00:07,2.183
2026-09-01 12:00:08,1.618
2026-09-01 12:00:09,2.128
2026-09-01 12:00:10,1.772
2026-09-01 12:00:11,1.883
2026-09-01 12:00:12,1.999
2026-09-01 12:00:13,2.376
2026-09-01 12:00:14,2.214
2026-09-01 12:00:15,2.534
2026-09-01 12:00:16,2.332
2026-09-01 12:00:17,1.909
2026-09-01 12:00:18,2.176
2026-09-01 12:00:19,1.911
2026-09-01 12:00:20,2.674
2026-09-01 12:00:21,1.874
2026-09-01 12:00:22,2.227
2026-09-01 12:00:23,1.832
2026-09-01 12:00:24,2.182
2026-09-01 12:00:25,2.426
2026-09-01 12:00:26,2.298
2026-09-01 12:00:27,2.32
2026-09-01 12:00:28,2.384
2026-09-01 12:00:29,1.922
2026-09-01 12:00:30,1.891
2026-09-01 12:00:31,1.936
2026-09-01 12:00:32,2.082
2026-09-01 12:00:33,1.89
2026-09-01 12:00:34,1.605
2026-09-01 12:00:35,2.126
2026-09-01 12:00:36,1.875
2026-09-01 12:00:37,2.251
2026-09-01 12:00:38,1.98
2026-09-01 12:00:39,1.744
2026-09-01 12:00:40,2.307
2026-09-01 12:00:41,2.392
2026-09-01 12:00:42,2.119
2026-09-01 12:00:43,1.996
2026-09-01 12:00:44,1.762
2026-09-01 12:00:45,2.505
2026-09-01 12:00:46,1.798
2026-09-01 12:00:47,2.279
2026-09-01 12:00:48,2.616
2026-09-01 12:00:49,2.105
2026-09-01 12:00:50,1.629
2026-09-01 12:00:51,2.32
2026-09-01 12:00:52,2.282
2026-09-01 12:00:53,2.576
2026-09-01 12:00:54,1.861
2026-09-01 12:00:55,2.337
2026-09-01 12:00:56,1.689
2026-09-01 12:00:57,2.206
2026-09-01 12:00:58,2.549
2026-09-01 12:00:59,2.458
2026-09-01 12:01:00,2.131
2026-09-01 12:01:01,2.039
2026-09-01 12:01:02,2.191
2026-09-01 12:01:03,2.04
2026-09-01 12:01:04,2.126
2026-09-01 12:01:05,2.185
2026-09-01 12:01:06,1.855
2026-09-01 12:01:07,2.056
2026-09-01 12:01:08,2.299
2026-09-01 12:01:09,1.855
2026-09-01 12:01:10,2.377
2026-09-01 12:01:11,2.471
2026-09-01 12:01:12,2.024
2026-09-01 12:01:13,2.276
2026-09-01 12:01:14,2.167
2026-09-01 12:01:15,1.697
2026-09-01 12:01:16,2.423
2026-09-01 12:01:17,2.364
2026-09-01 12:01:18,1.901
2026-09-01 12:01:19,2.104
2026-09-01 12:01:20,1.982
2026-09-01 12:01:21,2.441
2026-09-01 12:01:22,2.057
2026-09-01 12:01:23,2.371
2026-09-01 12:01:24,2.225
2026-09-01 12:01:25,1.682
2026-09-01 12:01:26,2.351
2026-09-01 12:01:27,2.038
2026-09-01 12:01:28,2.295
2026-09-01 12:01:29,2.597
